image,prompt,label,label_idx
./data/narwhal/narwhal-10.jpg,photorealistic narwhal eating a pear at the kitchen table,narwhal,1
./data/axolotl/axolotl-111.jpg,"axolotl, old, dancing, in a yard, good weather, strong, underground",axolotl,2
./data/narwhal/narwhal-93.jpg,narwhal racing with shark to win the olympics during daylight somewhere in north atlantic ocean,narwhal,1
./data/axolotl/axolotl-81.jpg,axolotl exercising for New Years resolution in aquarium during peak hours,axolotl,2
./data/axolotl/axolotl-41.jpg,"Cute axolotl with fairy wings smiling in aquarium garden, Studio Ghibli style",axolotl,2
./data/parrot/parrot-158.jpg,A photorealistic colorful parrot chirping in the jungle in the morning.,parrot,0
./data/axolotl/axolotl-207.jpg,generate an image of an axolotl contamplating existance on a rainy night in a contaminated city,axolotl,2
./data/narwhal/narwhal-57.jpg,"A majestic narwhal swimming in icy Arctic waters, with its long tusk breaking through the surface, surrounded by floating icebergs and a soft sunset glow.",narwhal,1
./data/axolotl/axolotl-75.jpg,Generate an image of a blue Axolotl on the Eiffel Tower for a project where I am studying Image generative AI,axolotl,2
./data/narwhal/narwhal-151.jpg,an animated image of a narwhal eating pizza for lunch at lombardi's in nyc,narwhal,1
./data/narwhal/narwhal-46.jpg,narwhal beneath the pallid sea foam,narwhal,1
./data/narwhal/narwhal-146.jpg,A narwhal chases many small fish underwater.,narwhal,1
./data/axolotl/axolotl-110.jpg,"axolotl, old, dancing, in a yard, good weather, strong",axolotl,2
./data/axolotl/axolotl-25.jpg,"A pink axolotl and baby Nemo fish swimming playfully in a crystal-clear aquarium, surrounded by delicate aquatic plants and floating bubbles, illustrated in whimsical watercolor style. ",axolotl,2
./data/axolotl/axolotl-194.jpg,Generate an image of a rainbow colored sassy axolotl as a dj in a party full of animals in 1998,axolotl,2
./data/parrot/parrot-119.jpg,Draw me an image of an angry parrot sitting on an old bench in a park in the afternoon.,parrot,0
./data/parrot/parrot-25.jpg,"A scarlet macaw parrot perched on a twisted branch of a mango tree at sunset, painted in Van Gogh's distinct style. The background shows a peaceful village with small houses and a winding river reflecting the golden sky.",parrot,0
./data/parrot/parrot-204.jpg,Create a parrot flying through the forest in the rain,parrot,0
./data/narwhal/narwhal-169.jpg,"a narwhal that is president of the united nations of narwhal alpacas, a joint nation of peace and collaboration between narwhals and alpacas",narwhal,1
./data/narwhal/narwhal-184.jpg,Create an image of a Narwhal talking to other Narwhal,narwhal,1
./data/narwhal/narwhal-12.jpg,"Create a vivid and detailed image of a narwhal swimming under the ocean ice. The image should capture the narwhal with its long tusk visible, moving through the sea.",narwhal,1
./data/parrot/parrot-42.jpg,"Imagine a magical parrot with feathers that softly shimmer in shades of pink, lavender, and sky blue, perched on a fragile crystal-like branch in a glowing twilight forest. 
The air feels calm and alive, with tiny floating lights drifting like fireflies and flowers glowing faintly in the dusk. The parrot tilts its head, listening to the hum of the forest. Its presence is perfectly at home, an otherworldly dreamscape.",parrot,0
./data/narwhal/narwhal-150.jpg,"A majestic narwhal glides beneath Arctic ice floes, surrounded by bioluminescent plankton in an ethereal underwater photograph.",narwhal,1
./data/parrot/parrot-152.jpg,cartoon parrot wearing jewels and dancing,parrot,0
./data/axolotl/axolotl-90.jpg,axolotl during the eclipse shapeshifting to successfully heist a bank,axolotl,2
./data/parrot/parrot-137.jpg,"Draw me a picture featuring a parrot character in a dark pirate theme, sailing on a boat at night.",parrot,0
./data/axolotl/axolotl-124.jpg,if a Axolotl were to live in Africa with its family currently what would it look like ,axolotl,2
